0,1,2,3,4,5,6,7,8,9,10
22/12/2023,"Dec 22, 2023",SYS,Systems Limited,432,435,420,422.34,0,"282,998",428.55
21/12/2023,"Dec 21, 2023",SYS,Systems Limited,432.15,433.75,424,428.55,0,"241,159",431.1
20/12/2023,"Dec 20, 2023",SYS,Systems Limited,432,434.88,422.01,431.1,0,"368,707",430.53
19/12/2023,"Dec 19, 2023",SYS,Systems Limited,446.01,449.95,429.1,430.53,0,"531,256",447.6
18/12/2023,"Dec 18, 2023",SYS,Systems Limited,452.99,457.02,446.62,447.6,0,"227,111",452.29
15/12/2023,"Dec 15, 2023",SYS,Systems Limited,456.99,456.99,448,452.29,0,"242,038",452.98
14/12/2023,"Dec 14, 2023",SYS,Systems Limited,453,463,440.01,452.98,0,"403,796",453.43
13/12/2023,"Dec 13, 2023",SYS,Systems Limited,464.99,465,451,453.43,0,"267,678",462.37
12/12/2023,"Dec 12, 2023",SYS,Systems Limited,465.66,468.3,461.97,462.37,0,"216,120",464.49
11/12/2023,"Dec 11, 2023",SYS,Systems Limited,465,469.38,457,464.49,0,"397,346",462.92
08/12/2023,"Dec 08, 2023",SYS,Systems Limited,468.01,470,461.5,462.92,0,"789,675",467.11
07/12/2023,"Dec 07, 2023",SYS,Systems Limited,476.01,480,463,467.11,0,"517,881",472.27
06/12/2023,"Dec 06, 2023",SYS,Systems Limited,462.01,477.7,462.01,472.27,0,"1,020,314",459.81
05/12/2023,"Dec 05, 2023",SYS,Systems Limited,466.03,467.01,455.5,459.81,0,"448,395",464.91
04/12/2023,"Dec 04, 2023",SYS,Systems Limited,464.32,474,462.4,464.91,0,"356,764",464.31
01/12/2023,"Dec 01, 2023",SYS,Systems Limited,459,466.98,459,464.31,0,"244,963",460.72
30/11/2023,"Nov 30, 2023",SYS,Systems Limited,458,463,453.91,460.72,0,"235,335",457.29
29/11/2023,"Nov 29, 2023",SYS,Systems Limited,458.8,463.5,451.02,457.29,0,"578,406",455.78
28/11/2023,"Nov 28, 2023",SYS,Systems Limited,462.75,468,450.5,455.78,0,"454,057",462.56
27/11/2023,"Nov 27, 2023",SYS,Systems Limited,474.8,474.8,460,462.56,0,"380,200",468.89
24/11/2023,"Nov 24, 2023",SYS,Systems Limited,465,482,465,468.89,0,"1,028,170",461.12
23/11/2023,"Nov 23, 2023",SYS,Systems Limited,443,464.7,443,461.12,0,"1,409,937",440.3
22/11/2023,"Nov 22, 2023",SYS,Systems Limited,438.5,442.2,437.2,440.3,0,"334,282",439.49
21/11/2023,"Nov 21, 2023",SYS,Systems Limited,440,445,438.03,439.49,0,"565,852",437.97
20/11/2023,"Nov 20, 2023",SYS,Systems Limited,445,445,437.21,437.97,0,"271,103",443.34
17/11/2023,"Nov 17, 2023",SYS,Systems Limited,440,449.99,440,443.34,0,"478,955",438.33
16/11/2023,"Nov 16, 2023",SYS,Systems Limited,437,441,434.6,438.33,0,"393,858",435.27
15/11/2023,"Nov 15, 2023",SYS,Systems Limited,438.49,441.99,433,435.27,0,"561,410",435.38
14/11/2023,"Nov 14, 2023",SYS,Systems Limited,425.93,438.7,425,435.38,0,"1,071,785",425.22
13/11/2023,"Nov 13, 2023",SYS,Systems Limited,425,428.4,423,425.22,0,"549,467",422.98
10/11/2023,"Nov 10, 2023",SYS,Systems Limited,421.3,430.25,420,422.98,0,"638,750",421.29
08/11/2023,"Nov 08, 2023",SYS,Systems Limited,417.17,424.75,417.17,421.29,0,"495,857",420.17
07/11/2023,"Nov 07, 2023",SYS,Systems Limited,417.16,425,417.16,420.17,0,"703,290",418.25
